0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",929881,16113676,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",22646275,23612826,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,212367,12368453,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(ii)Other securities,1162153,23603238,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(i) Debt,13341271,19223669,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(ii) Shares,28329375,52091693,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,3588,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,304058,748094,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,653059,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,3450582,45909347,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,28495884,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,2891048,11315105,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,8273752,15970307,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,20469833,64470139,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,34077,781328,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,15401656,47423317,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(A) Insured,0,34326272,"National Bank of Canada, As At May 31, 2022, (in thousands of dollars), National Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
