0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1165593,16943893,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",21373958,22198976,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,137541,14748487,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
(ii)Other securities,743371,29276039,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
(i) Debt,9496513,16237257,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
(ii) Shares,54353395,80296019,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At November 30, 2023, (in thousands of dollars), National Bank of Canada, As At November 30, 2023, (in thousands of dollars)"
