0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",938927,11703363,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",19444670,20166347,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3429,11363896,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(ii)Other securities,998521,23563698,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(i) Debt,21304011,27512080,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(ii) Shares,23879715,47279313,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,4335,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,237958,685763,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,968179,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(v) Lease receivables,0,0,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,3509930,47347409,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,29581997,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,2915266,11589433,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,13856617,26485662,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,24400491,70229864,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,36129,839988,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,18609053,51753244,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(A) Insured,0,36052630,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,7017998,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(C) Uninsured,6688416,43568476,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,390090,390090,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(ii) Non-residential,0,1010131,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",17732,6487215,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",186233,1396611,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(a) Insurance-related assets,0,109019,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(b) Accrued interest,404468,1056520,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,76414,301000,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(d) Goodwill,169675,1519095,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(i) with definite lives,23655,1193079,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(ii) with indefinite lives,0,167076,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
(f) Deferred tax assets,5849,389530,"National Bank of Canada, As At October 31, 2022, (in thousands of dollars), National Bank of Canada, As At October 31, 2022, (in thousands of dollars)"
