0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3158360,61408697,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",88258237,88258237,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,698142,28196729,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
(ii)Other securities,3500423,30026848,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
(i) Debt,167381763,177043010,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
(ii) Shares,17622011,34674458,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At April 30, 2020, (in thousands of dollars)"
