0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2949084,49312618,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",130218704,130458966,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1119640,22226748,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(ii)Other securities,4734175,36570007,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(i) Debt,169231837,183048866,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(ii) Shares,24982524,50655374,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2491458,2920786,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,8389290,9184113,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,2923990,2923990,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(v) Lease receivables,4403369,10306643,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,20049318,115452904,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,3210850,39901217,"Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At August 31, 2022, (in thousands of dollars)"
