0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3660575,102566362,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",100761208,101148436,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,824812,17027515,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(ii)Other securities,3086565,32822195,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(i) Debt,167433314,177945361,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(ii) Shares,46007182,63810076,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",900659,1054916,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,6719067,7310808,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,106378,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,1610345,1610345,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(v) Lease receivables,4027029,9532090,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,14188986,106509326,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,2942027,39732651,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,10068055,29431478,"Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars), Royal Bank of Canada, As At December 31, 2020, (in thousands of dollars)"
