0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3365167,55671172,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",133631200,133789747,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,645066,33629987,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
(ii)Other securities,5123233,26291395,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
(i) Debt,189091634,203120808,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
(ii) Shares,27123930,56091345,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars), Royal Bank of Canada, As At February 28, 2023, (in thousands of dollars)"
