0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2487979,128556687,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",56519799,56635335,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,912877,16299677,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(ii)Other securities,3401323,34530115,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(i) Debt,171225573,182824494,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(ii) Shares,36670620,53828142,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",792780,1013830,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,6341660,7250629,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,101846,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,1977832,1977832,"Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At January 31, 2021, (in thousands of dollars)"
