Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4732827,25937725,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",90534092,90804554,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,740611,43352844,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,6701404,46180968,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,245750748,261912969,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,60329203,79738782,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",1348262,2186701,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,7501186,10041313,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,840,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,3210201,3210201,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,5747630,14495986,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,22992055,128184874,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,3756349,41237715,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,17455283,40716652,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,280046303,325400855,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,147789086,295845990,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,1590985,2012358,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,93350104,204382454,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
