0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2620713,91972442,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",89807742,89928823,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,797410,32633379,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(ii)Other securities,3974217,29977188,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(i) Debt,182779624,193190213,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(ii) Shares,23125591,42117641,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",706442,903051,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,5295887,6006903,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,151908,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(iv) To foreign governments,1766398,1766398,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(v) Lease receivables,3361827,8732596,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,12807572,105429203,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,3150958,40389288,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,8583634,27282582,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,296084163,342366226,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,112984009,169882520,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,1558551,1797371,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,70809866,118412989,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(A) Insured,1302,102969342,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,50639478,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(C) Uninsured,22660638,223888927,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(ii) Non-residential,15788967,37837883,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",76780,18163237,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3807738,8215065,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(a) Insurance-related assets,163887,3715100,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(b) Accrued interest,1430476,2501512,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,689890,1710330,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(d) Goodwill,7387945,11385074,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(i) with definite lives,2393992,4661817,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(ii) with indefinite lives,8834,8834,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(f) Deferred tax assets,632824,2386029,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,70652759,127234040,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,1041230,668739,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
(j) Other,44050645,56550139,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
Total  Assets,906899502,1716954559,"Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars), Royal Bank of Canada, As At June 30, 2020, (in thousands of dollars)"
