0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2562989,102421189,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",112932566,113007498,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1014799,15405928,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
(ii)Other securities,3795943,35405296,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
(i) Debt,146875768,157963701,"Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At March 31, 2021, (in thousands of dollars)"
