0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3001562,56343024,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",123447961,124406746,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,994606,15576732,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(ii)Other securities,4497486,35509348,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(i) Debt,165974699,179509384,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
(ii) Shares,33348639,59110872,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars), Royal Bank of Canada, As At May 31, 2022, (in thousands of dollars)"
