0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2516621,96408839,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",116827607,117001588,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1137949,16686015,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii)Other securities,4144190,36748066,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Debt,165372476,177767135,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Shares,47369919,70377800,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2365771,2889700,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,6784570,7826791,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,1672145,1672145,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(v) Lease receivables,4201931,9736089,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,18553144,111522378,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,2999599,38645844,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,14153807,33603008,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,322253435,369956062,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,108219298,169628562,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,1515922,1722130,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,79648743,129235946,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(A) Insured,0,98124710,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,35200547,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(C) Uninsured,27284210,286218784,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Non-residential,17738534,40944245,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",71783,19679816,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3517384,7499224,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(a) Insurance-related assets,194755,4575339,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(b) Accrued interest,1105505,2324798,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,608467,1802113,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(d) Goodwill,7032287,11037663,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) with definite lives,2108094,4493101,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) with indefinite lives,8324,8324,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(f) Deferred tax assets,1232275,2114488,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,187355645,120418687,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,408304,686443,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(j) Other,43639498,54489395,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
Total  Assets,1093724121,1842638300,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,72288,8411296,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,99424,15518535,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,5369002,15354624,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Tax sheltered,2414910,26019114,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,81016223,248639987,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(e) Other,160603921,371070158,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,0,5315,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,29376189,39785889,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Tax-sheltered,2720,21044680,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,20531030,70136756,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(e) Others,234935607,294123607,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,1568465,2862037,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
5. Acceptances,72004,19755168,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,5500,5500,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,-1049106,16609136,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(c) Accrued interest,1290423,2327918,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,4000736,38354095,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Current,112100,1818776,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(ii) Deferred,13504,72198,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(f) Obligations related to borrowed securities,22269194,40073079,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,275089995,322407341,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(h) Deferred income,316433,3265681,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(i) Derivative related amounts,202870136,116240549,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(k) Other,50147215,59557073,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
7. Subordinated debt,2440311,9689124,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(a) Preferred shares,0,7431404,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(b) Common shares,0,17633161,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(c) Contributed surplus,848,232508,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(d) Retained earnings,,71562686,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(e) Non-controlling interests,10687,97709,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,2533196,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
Total liabilities and shareholders' equity,1093579759,1842638300,"Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars), Royal Bank of Canada, As At November 30, 2021, (in thousands of dollars)"
