0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2164320,90817113,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",104003098,104286718,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1133740,17345434,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii)Other securities,4157301,36731931,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Debt,157338310,168742786,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Shares,40048860,61903637,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2720662,3363380,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,7031662,7662426,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,14282,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,1551833,1551833,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(v) Lease receivables,4181788,9725425,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,17517121,109436688,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,2885025,38401795,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,13333533,32863352,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,264374030,307902676,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,104834402,165341056,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,1500870,1723088,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,75865670,124426781,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(A) Insured,0,98502540,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,36315593,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(C) Uninsured,25961675,281415761,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Non-residential,17163606,40561272,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",106541,19798067,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",3410458,7424307,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,206754,4462707,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(b) Accrued interest,968533,2194986,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,654876,1875702,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(d) Goodwill,6848858,10854234,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) with definite lives,2080997,4462970,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) with indefinite lives,8078,8078,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(f) Deferred tax assets,1153504,2011419,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,-64505473,95540583,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,384780,654270,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(j) Other,39851129,51730350,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
Total  Assets,745351443,1706322631,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,69615,6623740,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,88995,15767980,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,4065633,13174486,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Tax sheltered,2296484,26090928,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Other,78200785,246014683,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(e) Other,152956925,354252779,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,0,5319,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,22558524,33445449,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Tax-sheltered,2635,21174084,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Other,20075427,69208168,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(e) Others,220378895,277856448,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,1815171,4767892,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
5. Acceptances,106756,19873413,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Other,5332,5332,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,-1021598,15848424,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(c) Accrued interest,1194027,2178473,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,3774704,37494423,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Current,79355,2745613,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(ii) Deferred,13800,73601,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(f) Obligations related to borrowed securities,21317766,37841270,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,219589452,262200695,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(h) Deferred income,517460,3517646,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(i) Derivative related amounts,-46869630,91439173,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(k) Other,41548656,56367429,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
7. Subordinated debt,2369795,9593158,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(a) Preferred shares,0,6684410,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(b) Common shares,0,17654652,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(c) Contributed surplus,0,232392,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(d) Retained earnings,,71562686,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(e) Non-controlling interests,10545,94689,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,2533196,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
Total liabilities and shareholders' equity,745145509,1706322631,"Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars), Royal Bank of Canada, As At October 31, 2021, (in thousands of dollars)"
