Section I - Assets,Foreign Currency,Total Currency,P_Tags
Gold coin and gold and silver bullion,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Bank notes and other coin,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Not in use,Not in use,Not in use,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Deposits with Bank of Canada,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Deposits with regulated financial institutions, less allowance for impairment",0,499023,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Cheques and other items in transit (net),0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Treasury Bills,0,945800,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other securities maturing within 3 years,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other securities,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities maturing within 3 years,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other securities,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Shares,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities issued or guaranteed by a Canadian province,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment","Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Debt,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Shares,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Call and other short loans to investment dealers and brokers, secured",0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
To regulated financial institutions,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"To Canadian federal government, provinces, municipal or school corporations",0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
