0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2352908,11704607,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",39249258,40865652,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2751640,22446725,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(ii)Other securities,3096708,38552057,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(i) Debt,74535113,80633193,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(ii) Shares,52670321,80590898,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",35490,35490,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,22752677,23594817,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,106397,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,1152994,1152994,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(v) Lease receivables,2462050,3111173,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,22853807,99157113,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,600041,21109733,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,2823070,34932669,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,103525013,131080521,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,128349577,188395500,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,1306006,7089764,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,35649661,57356433,"The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At April 30, 2021, (in thousands of dollars)"
