0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2781666,15763120,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",54214667,55494334,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2611308,20769008,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(ii)Other securities,2975341,31401694,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(i) Debt,72047940,78883165,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(ii) Shares,57130580,87518126,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",36757,36757,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,24736883,25714750,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,131921,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,1186142,1186142,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(v) Lease receivables,2328240,2975784,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,22933761,100480154,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,580999,21067371,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,2760314,35631318,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,94408348,126934304,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,133695218,194891585,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,1348908,7377114,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,36225731,56614389,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(A) Insured,1620,87158823,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,29418753,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(C) Uninsured,39543860,226961460,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(ii) Non-residential,75247,3284636,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",349924,17412756,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",2412884,5525623,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,4244,2310577,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
(b) Accrued interest,1487839,2264815,"The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At August 31, 2021, (in thousands of dollars)"
