0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3197217,21454786,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",55920667,57430165,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1560794,22837732,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(ii)Other securities,2728364,23994497,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(i) Debt,105494873,113022609,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(ii) Shares,31688811,63433959,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,25845662,27929779,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,208831,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,1447843,1447843,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(v) Lease receivables,2595688,3313961,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,28843967,113220297,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,728837,23166046,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,2652201,37127316,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,139032921,183097416,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,184629394,267343462,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,2442242,10624284,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,51940051,82169275,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(A) Insured,1725,82173815,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,28665922,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
(C) Uninsured,49084671,269524233,"The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At December 31, 2022, (in thousands of dollars)"
