0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2882082,39051170,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",57561350,58780828,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3288258,27487761,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(ii)Other securities,2424211,36522464,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(i) Debt,77132517,83034656,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(ii) Shares,57959892,80919214,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",54940,54940,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,22942494,23498934,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,97228,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(iv) To foreign governments,1146870,1146870,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(v) Lease receivables,2628721,3307046,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,23965238,99869604,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,634971,20990011,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,3881862,35768243,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,86716078,115947993,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,130556802,187968308,"The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At February 28, 2021, (in thousands of dollars)"
