0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",6073048,7162038,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",61704406,65744332,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2405467,18160301,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
(ii)Other securities,4306739,29055452,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
(i) Debt,79743671,85621540,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
(ii) Shares,49935938,73235791,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At January 31, 2020, (in thousands of dollars)"
