0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2820160,18591820,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",64788505,66121997,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3325195,21085853,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii)Other securities,3082183,33137672,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Debt,72445628,79309094,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Shares,55813849,85469457,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",35866,35866,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,23680721,24558179,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,97947,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,1107919,1107919,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(v) Lease receivables,2393247,3059599,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,23010195,99966879,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,582142,21102329,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,2790145,35314980,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,94159213,122882262,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,129564366,189328231,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,1444861,7326639,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,36122874,56621286,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(A) Insured,1593,88678346,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,29001552,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(C) Uninsured,39350798,216632004,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Non-residential,75255,3311946,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",279212,17284966,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",2442423,5541970,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(a) Insurance-related assets,7785,2306528,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(b) Accrued interest,1377291,2038090,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,475580,2132131,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(d) Goodwill,3947077,9067677,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) with definite lives,1030859,3116754,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) with indefinite lives,2603,4580303,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(f) Deferred tax assets,1112502,2208263,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,39557353,46778526,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,1835656,2516759,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(j) Other,5551114,10572536,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
Total  Assets,573274148,1161519574,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,19948,2481653,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,24202,14809238,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,6587409,11692739,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Tax sheltered,170634,21347638,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Other,31915276,157174130,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(e) Other,124918713,242710864,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,86782,337702,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,3745103,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,27009124,31635601,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Tax-sheltered,8633,19624086,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Other,22021016,62106519,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(e) Others,187768610,225060674,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,0,0,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
5. Acceptances,280132,17359420,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,212147,310362,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Other,25726509,25726532,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,709079,2966494,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(c) Accrued interest,599262,1349040,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,0,25655392,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Current,140268,1183881,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(ii) Deferred,391041,1353359,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(f) Obligations related to borrowed securities,20179247,41784563,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,75898790,109323009,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(h) Deferred income,516795,1415520,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(i) Derivative related amounts,33756759,38111977,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(k) Other,11579701,24270426,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
7. Subordinated debt,1639636,6382667,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(a) Preferred shares,0,5799038,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(b) Common shares,0,18481381,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(c) Contributed surplus,0,172309,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(d) Retained earnings,,48713427,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(e) Non-controlling interests,0,2414030,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,-3979200,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
Total liabilities and shareholders' equity,572159713,1161519574,"The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At June 30, 2021, (in thousands of dollars)"
