0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3341439,19945386,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",72930838,73985175,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2736082,20724557,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii)Other securities,1949770,25172764,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) Debt,82681573,90449074,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii) Shares,55027399,87737169,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,24116618,25441818,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,135303,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,1590246,1590246,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(v) Lease receivables,2457635,3076163,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,25023613,104240271,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,653178,21883075,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,2594437,35447190,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,106737977,140397971,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,150621409,217736412,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,1352484,8026011,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,39797089,62404501,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(A) Insured,1600,82637324,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,26643414,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(C) Uninsured,42923057,252696310,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii) Non-residential,69052,3567671,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",230110,20178061,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",2314246,5573465,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(a) Insurance-related assets,8040,2111152,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(b) Accrued interest,1419980,2196781,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,711736,2668905,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(d) Goodwill,3867048,8987647,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) with definite lives,1045213,3226687,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii) with indefinite lives,2626,4580326,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(f) Deferred tax assets,1066938,2428490,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(g) Derivatives related amounts,47501445,53643500,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) Interests in associates and joint ventures,1997426,2704158,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(j) Other,5914052,12272235,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
Total  Assets,638287168,1270105021,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(a) Federal and Provincial,49298,2234852,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(b) Municipal or School Corporations,21325,13247232,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(c) Deposit-taking institutions,7883072,14236784,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(i) Tax sheltered,184547,21050325,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(ii) Other,32670369,164092792,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
(e) Other,117051555,233091325,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars), The Bank of Nova Scotia, As At March 31, 2022, (in thousands of dollars)"
