0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2389035,26689128,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",45036959,46151992,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3079522,21339817,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
(ii)Other securities,3397341,40732062,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
(i) Debt,70841378,76937479,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
(ii) Shares,53003601,81331146,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",37495,37495,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,23304260,24158133,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,100947,"The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars), The Bank of Nova Scotia, As At May 31, 2021, (in thousands of dollars)"
