0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",3101421,15486752,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",60600468,62154527,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3566071,29831413,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(ii)Other securities,6115547,44718911,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(i) Debt,79856658,84526710,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(ii) Shares,38903993,60641765,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",164521,164521,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,23275405,23873677,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,131086,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,1096928,1096928,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(v) Lease receivables,2771026,3425917,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,25249264,103516066,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,581812,21847334,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,3940903,36454989,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,88965340,119747374,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,136283482,192447404,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,1397578,6981384,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,39066958,59090760,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(A) Insured,1718,93569367,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,35267488,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(C) Uninsured,38883201,190229970,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(ii) Non-residential,91040,3159993,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",386132,14227634,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",2745363,5896959,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,20010,2342244,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(b) Accrued interest,1795098,2812027,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,526260,2015242,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(d) Goodwill,4158375,9278975,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(i) with definite lives,1082543,3140103,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,2798,4596373,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,1050231,2185027,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,38072601,49976556,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,1780389,2475138,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
(j) Other,4594323,8797378,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
Total  Assets,565140206,1136466037,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars), The Bank of Nova Scotia, As At October 31, 2020, (in thousands of dollars)"
