0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",14663125,39783428,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",63940788,65939595,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,337467,6639633,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(ii)Other securities,6487712,99812433,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(i) Debt,318070084,335793123,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(ii) Shares,56189421,69994464,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3,3,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,2003376,2025887,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1456018,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(iv) To foreign governments,16599523,16599523,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(v) Lease receivables,6284140,7777831,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,74872678,256600388,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,10758581,129846693,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,45237054,77459303,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,133402835,205721664,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,153272568,235295719,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,44277,6025311,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,94441570,144388772,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(A) Insured,1646107,91345862,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,21780475,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(C) Uninsured,60425658,272863377,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(ii) Non-residential,34363607,66119925,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",43442,4182664,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",5342504,9517361,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,718787,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(b) Accrued interest,3277591,5579886,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,349934,1607186,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(d) Goodwill,16540576,18657965,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(i) with definite lives,1137339,2897500,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(f) Deferred tax assets,2832539,4805967,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,513683639,82189365,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At April 30, 2024, (in thousands of dollars)"
