0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",18292795,65816594,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",83444669,86686352,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,647017,17613792,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
(ii)Other securities,6780264,82593748,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
(i) Debt,367542169,384941006,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
(ii) Shares,38575561,53208733,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,2511252,2652528,"The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars), The Toronto-Dominion Bank, As At August 31, 2022, (in thousands of dollars)"
