0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",13760166,14989880,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",36039457,36811249,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,832139,9732266,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(ii)Other securities,2045944,43999708,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(i) Debt,224804095,236513782,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(ii) Shares,31465831,43104096,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,1802565,3501913,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",55648,1215278,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(iv) To foreign governments,19229668,19229668,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(v) Lease receivables,4243317,4830909,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,61001958,205375889,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,11990469,99409624,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,31620050,58832903,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,87206445,136265979,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,91698758,132247631,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,92699,4591707,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,61226449,89396681,"The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At February 28, 2019, (in thousands of dollars)"
