0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",12905175,14156042,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",32075030,32776900,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,960807,11280743,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(ii)Other securities,2066534,43143541,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(i) Debt,228958063,241242004,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(ii) Shares,32998979,42088228,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,1774097,2170727,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",55563,1251375,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,18983013,18983013,"The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At January 31, 2019, (in thousands of dollars)"
