0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15738535,91534201,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",87256948,88805148,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1223534,39127834,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(ii)Other securities,3199332,59143847,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(i) Debt,287641719,301923372,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(ii) Shares,31444373,45051779,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",402,402,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,2940769,3460763,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1454060,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,19914045,19914045,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(v) Lease receivables,5133733,5902678,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,62213830,210420507,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,11229781,103686415,"The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2020, (in thousands of dollars)"
