0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",17106525,83125661,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",89529497,91267650,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1233972,48942541,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
(ii)Other securities,2645841,56657451,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
(i) Debt,278539188,293524639,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
(ii) Shares,29768731,42539627,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",150,150,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,2715092,3355567,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1621751,"The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars), The Toronto-Dominion Bank, As At June 30, 2020, (in thousands of dollars)"
