0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",13094794,30858820,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",67225275,69076174,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,406485,8530184,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
(ii)Other securities,6018420,101153748,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
(i) Debt,328347696,345839574,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
(ii) Shares,58760532,74754993,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,2134779,2162011,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1393804,"The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At March 31, 2024, (in thousands of dollars)"
