0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",14698719,38786746,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",81490656,83574237,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,302594,8901664,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(ii)Other securities,6291275,99831140,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(i) Debt,314607556,332319133,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(ii) Shares,58704681,72647599,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,1983409,2010786,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1719763,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,15678332,15678332,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
(v) Lease receivables,6192676,7705700,"The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At May 31, 2024, (in thousands of dollars)"
