0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",8100425,14718849,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",31575530,33823264,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1375142,10530028,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
(ii)Other securities,2433870,45851278,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
(i) Debt,249110401,260357331,"The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At November 30, 2019, (in thousands of dollars)"
