0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15974618,17386470,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",24742825,26820967,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,924492,13239723,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(ii)Other securities,2274501,44344591,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(i) Debt,240282178,251637196,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(ii) Shares,43382343,58322045,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,1814481,4277572,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,1190027,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,19986014,19986014,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(v) Lease receivables,4695223,5350327,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,63681790,214073292,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,11470293,102486518,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,34326662,62899465,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,102671199,165935251,"The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars), The Toronto-Dominion Bank, As At October 31, 2019, (in thousands of dollars)"
