0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",33183332,163150311,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",294646491,334832705,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8220654,155981123,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii)Other securities,29860412,316311141,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Debt,1001577911,1080505964,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) Shares,271735778,411951032,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2776700,3486034,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,107809731,123365631,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
