0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24692769,297715619,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",454840880,492136959,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8414543,119810866,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(ii)Other securities,23622154,250272147,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(i) Debt,763787062,830365410,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(ii) Shares,338842093,489024454,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3918578,4587471,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,95741362,107099104,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",21999,4291764,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,23276874,23276874,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(v) Lease receivables,14180870,31587593,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,123707299,669102866,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,15329477,285767913,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,64688056,183722963,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,702720792,955950925,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,584109000,1005085754,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,7309741,42724270,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,298455310,543252791,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(A) Insured,1224386,457070551,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,137031134,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(C) Uninsured,126663860,1160870801,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,457126,5178184,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(ii) Non-residential,57768914,152110866,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",721276,100326265,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",13980159,32014504,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,286323,11134205,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(b) Accrued interest,5214813,10985037,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1604986,7780626,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(d) Goodwill,33841198,48744559,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
(i) with definite lives,4868291,16438506,"Total All Banks, As At December 31, 2021, (in thousands of dollars), Total All Banks, As At December 31, 2021, (in thousands of dollars)"
