0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23941914,407203309,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",384925821,427504210,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8098839,137044920,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii)Other securities,21525586,259343637,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) Debt,674946822,742014419,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii) Shares,233376064,357148603,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3093865,3300465,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,84645416,94625253,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",191849,4674747,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(iv) To foreign governments,24108577,24108577,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(v) Lease receivables,14325919,30658137,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,116058833,631945884,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,16448239,270597398,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,58615531,173736259,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,597710600,812103250,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,547371435,931941973,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,6892546,36611203,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,267279271,491758394,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(A) Insured,1328131,480025112,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,157640994,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(C) Uninsured,119759548,993860017,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,491419,4537526,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii) Non-residential,59148755,147483656,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1895207,88895163,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14343031,32432527,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(a) Insurance-related assets,269278,10325756,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(b) Accrued interest,5629447,12033817,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1626597,7470952,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(d) Goodwill,35737290,50598953,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) with definite lives,5087904,16197940,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii) with indefinite lives,211900,5159258,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(f) Deferred tax assets,3564934,10788098,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,37346338,299978080,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7970423,19508655,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17578078,20070629,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(j) Other,111671365,178399406,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
Total  Assets,3157981185,7241382929,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(a) Federal and Provincial,3453059,32663842,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,175032,40965589,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,20616394,62991736,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(i) Tax sheltered,7194531,127027753,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(ii) Other,559610177,1284067714,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
(e) Other,639579298,1385457614,"Total All Banks, As At February 28, 2021, (in thousands of dollars), Total All Banks, As At February 28, 2021, (in thousands of dollars)"
