Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",28345973,288452875,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",398760969,437145537,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9379539,125408604,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
(ii)Other securities,22210067,247074670,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
(i) Debt,827268513,894396207,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
(ii) Shares,231328120,375956817,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At February 28, 2022, (in thousands of dollars), Total All Banks, As At February 28, 2022, (in thousands of dollars)"
