0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",29763954,393843281,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",326652627,369233849,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7286962,136003104,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(ii)Other securities,24123539,265656758,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Debt,705281016,769798852,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Shares,225008895,343284237,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2756574,3007232,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,87943996,97715133,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3128,4531332,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,24203829,24203829,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(v) Lease receivables,14344764,30735429,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,117702381,632643473,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,16793530,270201329,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,58977782,174253890,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,592321888,814753351,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,547633721,930264161,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,6852731,36402358,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,270211203,492403957,"Total All Banks, As At January 31, 2021, (in thousands of dollars), Total All Banks, As At January 31, 2021, (in thousands of dollars)"
