Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",30217027,203514740,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",351587697,390992773,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6366046,145894598,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
(ii)Other securities,25383888,296494372,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
(i) Debt,940384307,1014952594,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
(ii) Shares,206172180,356954664,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At July 31, 2023, (in thousands of dollars), Total All Banks, As At July 31, 2023, (in thousands of dollars)"
