0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",35164278,162679178,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",353488994,393397451,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,11854897,160508841,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
(ii)Other securities,26753150,325368114,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
(i) Debt,1018755633,1097717460,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
(ii) Shares,328615345,477238253,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2364882,3276347,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,84390948,98457996,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",64925,5823784,"Total All Banks, As At June 30, 2024, (in thousands of dollars), Total All Banks, As At June 30, 2024, (in thousands of dollars)"
