Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",29108916,252426430,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",373340936,416076460,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6594802,188422276,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
(ii)Other securities,23869834,275592899,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
(i) Debt,685650016,748303534,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
(ii) Shares,121162989,227772174,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2762453,3175544,"Total All Banks, As At May 31, 2020, (in thousands of dollars), Total All Banks, As At May 31, 2020, (in thousands of dollars)"
