0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",33616673,157514553,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",351746234,393036629,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8523438,164664280,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(ii)Other securities,29082330,328907706,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(i) Debt,1010257440,1091360844,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(ii) Shares,315291569,462826182,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2696744,3515632,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,81508948,94776579,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",84057,5167675,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,22314609,22314609,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(v) Lease receivables,17181189,36506789,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,157942299,773068556,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,21520245,321185210,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,83575091,210201616,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,740384973,995457827,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,796381953,1444202546,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,11473242,43276929,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,437453081,834014983,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(A) Insured,1672460,431080874,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,151696245,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(C) Uninsured,193830244,1409654813,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,298641,8125385,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
(ii) Non-residential,84318008,188980600,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",625956,25397472,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15093664,33618959,"Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2024, (in thousands of dollars), Total All Banks, As At May 31, 2024, (in thousands of dollars)"
