Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",26847661,177291204,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",332000839,371517213,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7195489,169853676,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(ii)Other securities,24920617,320491674,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(i) Debt,1009479333,1088626308,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(ii) Shares,245040835,400824523,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2874623,3667224,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,114806349,130268716,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",112486,4762875,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,23459784,23459784,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(v) Lease receivables,16472385,36053150,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,165705044,772858530,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,21118795,316598487,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,90438707,216972441,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,816990546,1077603094,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,772839977,1342272500,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,9302811,44139620,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,397282923,726515825,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(A) Insured,1574183,435227997,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,141225350,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(C) Uninsured,188813873,1383299206,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,329557,7531461,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(ii) Non-residential,82780130,182528612,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",269473,82610759,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15378853,33788063,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(a) Insurance-related assets,236842,10858771,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(b) Accrued interest,17216103,31819484,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,1960089,8302946,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(d) Goodwill,49045800,64146428,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(i) with definite lives,9135809,22209769,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(ii) with indefinite lives,11378,4942136,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(f) Deferred tax assets,6923334,15616881,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,130274302,332083072,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,24717171,38749995,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,15321061,17374060,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
(j) Other,170706875,215563296,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
Total  Assets,4273440801,8806203407,"Total All Banks, As At November 30, 2023, (in thousands of dollars), Total All Banks, As At November 30, 2023, (in thousands of dollars)"
