Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23198360,38643638,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",204580255,245068017,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7049048,105937056,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii)Other securities,18714512,212929278,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(i) Debt,608545467,666450330,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii) Shares,162604226,281517979,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3321609,3979834,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,77045097,88185524,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3935,4061169,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,23918021,23918021,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(v) Lease receivables,13516311,29668457,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,124771098,658585866,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,19932817,270432800,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,54991739,167562207,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,590656730,803958146,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,532981088,901656957,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,6919933,33914802,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,267269160,481710237,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
