0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21767135,278921301,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",350892595,368743431,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8750477,113387530,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii)Other securities,19971445,243608646,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) Debt,640670633,702995072,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii) Shares,213076161,341696503,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2959916,3185192,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,78789420,84808584,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2852,3873669,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,22779916,22779916,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(v) Lease receivables,13778716,28238581,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,111984646,623434998,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,15498406,271454049,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,56728863,172088581,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,581267158,782394188,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,503488394,845850002,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,6362041,25252154,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,248922988,453640615,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(A) Insured,1359177,467534463,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,149213929,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(C) Uninsured,116778997,993930323,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,469347,4638083,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii) Non-residential,57069803,141638074,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1263606,83153674,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",13926299,31311048,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(a) Insurance-related assets,272819,10377936,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(b) Accrued interest,4896387,11021942,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1669919,7268593,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(d) Goodwill,33751733,48544979,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) with definite lives,4850628,15899617,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii) with indefinite lives,203177,5150176,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(f) Deferred tax assets,3409021,8627106,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,-363280570,286702432,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,16478964,18915790,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(j) Other,102590248,129321677,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
Total  Assets,2565889019,6707953526,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,2470578,28384518,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,182273,47691865,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,19979887,62310248,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(i) Tax sheltered,6436155,122563699,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(ii) Other,542363545,1264676063,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
(e) Other,629802931,1347843500,"Total Domestic Banks, As At April 30, 2021, (in thousands of dollars), Total Domestic Banks, As At April 30, 2021, (in thousands of dollars)"
