0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21052201,37793201,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",200704129,223849518,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7175916,90941589,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
(ii)Other securities,17023440,187685670,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
(i) Debt,602121748,661247811,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
(ii) Shares,170208076,282196932,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3496074,3772964,"Total Domestic Banks, As At August 31, 2019, (in thousands of dollars), Total Domestic Banks, As At August 31, 2019, (in thousands of dollars)"
