0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15349653,365405323,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",368350854,386823622,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7233017,129002155,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(ii)Other securities,20236879,255678237,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(i) Debt,695884065,757414428,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(ii) Shares,260750771,383098314,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2514710,2700076,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,87040705,91552251,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",11408,4475431,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,23323516,23323516,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(v) Lease receivables,14193669,28727129,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,117548296,626875089,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,16794155,269232810,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,57008716,171089029,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,628033022,835682633,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,517243421,847307823,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,6442633,25025432,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,255461700,451569138,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(A) Insured,1407647,478805146,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,162818401,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(C) Uninsured,120462377,948216103,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,500424,4490228,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(ii) Non-residential,58877035,141047405,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1105442,84016243,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14521701,32083504,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,278412,10310496,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(b) Accrued interest,5511526,11323462,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,1479212,7339694,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(d) Goodwill,35840414,50006226,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(i) with definite lives,5201691,16095089,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,209099,5088652,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,3314738,10359928,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,-114291565,355536047,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17515027,19954391,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(j) Other,99211390,122450509,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
Total  Assets,3008858556,7035189150,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
(a) Federal and Provincial,2648495,33547992,"Total Domestic Banks, As At December 31, 2020, (in thousands of dollars), Total Domestic Banks, As At December 31, 2020, (in thousands of dollars)"
