0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",27168542,261786296,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",392638587,408797230,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9264230,109076011,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
(ii)Other securities,20379205,234225328,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
(i) Debt,820926584,886658363,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
(ii) Shares,231196632,375770729,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At February 28, 2022, (in thousands of dollars), Total Domestic Banks, As At February 28, 2022, (in thousands of dollars)"
