0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",845265,142981981,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",327314903,343942957,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7253336,138623612,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
(ii)Other securities,24774286,312169435,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
(i) Debt,996139658,1077273735,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
(ii) Shares,278471296,429665679,"Total Domestic Banks, As At February 29, 2024, (in thousands of dollars), Total Domestic Banks, As At February 29, 2024, (in thousands of dollars)"
