0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",28907202,373040487,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",320763610,339135509,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7060428,122196978,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii)Other securities,22347424,249506697,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Debt,697854836,760783428,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Shares,224887001,342852425,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2756574,3007232,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,86924822,91969326,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3093,4423056,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,24040413,24040413,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(v) Lease receivables,14052806,28322394,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,117495415,622653529,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,16792517,268614904,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,58774137,173132585,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,592287281,797763526,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,520115937,850345240,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,6410941,24993520,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,259117210,456996866,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(A) Insured,1282018,475130611,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,160931122,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(C) Uninsured,120232054,958454284,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,497258,4509988,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Non-residential,59204495,141709761,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1917416,81142934,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14567895,32206751,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,296996,10345179,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(b) Accrued interest,5647961,11650789,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1703681,7440726,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(d) Goodwill,35881320,50689263,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) with definite lives,5161566,16239260,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) with indefinite lives,210431,5098605,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(f) Deferred tax assets,3240482,9598003,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,142738376,297393794,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17624273,20080292,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(j) Other,112805187,151340255,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
Total  Assets,3182508251,6883070735,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,2996667,32812070,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,184066,38412307,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,19920034,61302778,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Tax sheltered,7421253,122116043,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Other,556244354,1262375788,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(e) Other,613088321,1294132840,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,89534,6590795,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,6412840,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,93880097,127400716,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Tax-sheltered,102514,108379104,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Other,70669085,342675865,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(e) Others,932626042,1204672630,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,11220610,7851822,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,2764,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
5. Acceptances,1918435,81631950,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,293384,439444,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(ii) Other,25669441,26253195,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,-167060,38941806,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(c) Accrued interest,3223713,9729814,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,15816901,208995860,"Total Domestic Banks, As At January 31, 2021, (in thousands of dollars), Total Domestic Banks, As At January 31, 2021, (in thousands of dollars)"
