0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",28861351,181712947,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",347826052,364873249,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6135288,120905190,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(ii)Other securities,23545923,285364680,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(i) Debt,931609872,1005558871,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(ii) Shares,206021064,356733619,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2624686,2975972,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,104394538,114338714,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",92715,4371734,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,22029665,22029665,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(v) Lease receivables,15835179,33434874,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,157982407,749918983,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,20242677,312956056,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,85921252,210976140,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,712898798,965560912,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,715593888,1204334344,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,9107635,30650653,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,375324494,665289579,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
(A) Insured,1471854,428542861,"Total Domestic Banks, As At July 31, 2023, (in thousands of dollars), Total Domestic Banks, As At July 31, 2023, (in thousands of dollars)"
