0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21440424,37775661,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",216681354,236801010,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6660021,88098156,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
(ii)Other securities,16541568,185956553,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
(i) Debt,586812089,646922119,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
(ii) Shares,169481831,284008785,"Total Domestic Banks, As At June 30, 2019, (in thousands of dollars), Total Domestic Banks, As At June 30, 2019, (in thousands of dollars)"
