0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21957503,86821904,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",344087648,367316605,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6945619,104372888,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(ii)Other securities,17216771,215152208,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(i) Debt,687017125,746192059,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(ii) Shares,113938008,210877657,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4637398,4990914,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,90023882,96725528,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3945,4672346,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(iv) To foreign governments,24846978,24846978,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(v) Lease receivables,14391915,28152951,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,129725937,646345355,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,20364664,270416171,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,57680470,167405985,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,667340837,913078781,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,650478035,1002529251,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,6918216,25779842,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,316458875,523682634,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(A) Insured,1292789,457835151,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,177295606,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(C) Uninsured,123433398,881576675,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,606918,4182640,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(ii) Non-residential,62342670,140706873,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1062051,83175312,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15442947,33312092,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(a) Insurance-related assets,276555,8926521,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(b) Accrued interest,6916286,13204262,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,1846591,6876427,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(d) Goodwill,39095541,53186082,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(i) with definite lives,5759216,16569427,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(ii) with indefinite lives,212114,5089612,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(f) Deferred tax assets,3252979,8221173,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,936666343,461997932,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,16961094,18656209,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
(j) Other,21102185,171884031,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
Total  Assets,4008881278,6817475844,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Domestic Banks, As At March 31, 2020, (in thousands of dollars), Total Domestic Banks, As At March 31, 2020, (in thousands of dollars)"
