0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",26479738,199779789,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",381779766,397216567,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9046181,112959813,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(ii)Other securities,21003616,246677643,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(i) Debt,834513287,903402636,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(ii) Shares,198874001,337775424,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4205803,4770447,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,93631102,102396080,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2323,3543129,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,21732896,21732896,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(v) Lease receivables,13846672,29614526,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,126935437,686207471,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,15235866,297418564,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,66422731,185827878,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,637422594,862142614,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,614836028,1028682868,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,7414103,32644526,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,314683796,556764503,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(A) Insured,1162233,434741458,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,131872215,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(C) Uninsured,136194172,1200318251,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,429765,5762395,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(ii) Non-residential,59102862,150872596,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",392395,83674277,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",13742750,31402859,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(a) Insurance-related assets,285699,10721357,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(b) Accrued interest,6477330,14409343,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,1518892,7746459,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(d) Goodwill,33824762,48693360,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At May 31, 2022, (in thousands of dollars), Total Domestic Banks, As At May 31, 2022, (in thousands of dollars)"
