0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",19726281,276483675,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",433441122,448498015,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8812419,107427510,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii)Other securities,21979197,237560725,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Debt,756125638,823308120,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Shares,297851655,436260059,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3881686,4449633,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,87407945,94059123,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2645,4243703,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,22819098,22819098,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(v) Lease receivables,14029571,29290409,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,123589919,658758106,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,15461637,283166595,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,65277848,184047638,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,662294270,887560358,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,540574122,902821543,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,6668225,29191996,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,277152731,493709016,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(A) Insured,1287590,451350272,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,135951159,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(C) Uninsured,126544241,1116576119,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,464493,5091020,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Non-residential,58905649,147435438,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",788669,88699718,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14150584,31758770,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(a) Insurance-related assets,288479,11161240,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(b) Accrued interest,5233408,12026123,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1708720,7355672,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(d) Goodwill,34308475,49160171,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) with definite lives,4913472,16320780,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) with indefinite lives,38444,4924711,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(f) Deferred tax assets,4143797,8914593,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,613599024,333491669,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17498751,19954115,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(j) Other,95376380,145047019,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
Total  Assets,3971785744,7382807507,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,3526063,31869290,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,208913,52580247,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,23457044,68483539,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Tax sheltered,7424091,121541249,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,568317356,1331134003,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(e) Other,733500460,1523502877,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,0,4835738,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,5917302,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,113251544,137381793,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Tax-sheltered,89542,100870151,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,64399512,316475241,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(e) Others,1052615294,1304622135,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,28361998,4796679,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,10239,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
5. Acceptances,789952,88952303,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,0,145764,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Other,26017234,26555591,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,-316821,40430452,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(c) Accrued interest,3054564,8410945,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,16408394,212333532,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Current,992178,4223070,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(ii) Deferred,492020,2029034,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(f) Obligations related to borrowed securities,83434322,208931786,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,615578405,827131386,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(h) Deferred income,989871,5252933,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(i) Derivative related amounts,541615121,309851204,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(k) Other,99988790,189602249,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
7. Subordinated debt,8904222,41843812,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(a) Preferred shares,0,32970102,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(b) Common shares,0,96737190,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(c) Contributed surplus,778,1642509,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(d) Retained earnings,,271510959,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(e) Non-controlling interests,202049,2379381,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,7852822,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
Total liabilities and shareholders' equity,3993302896,7382807507,"Total Domestic Banks, As At November 30, 2021, (in thousands of dollars), Total Domestic Banks, As At November 30, 2021, (in thousands of dollars)"
