0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24212328,160674211,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",350816752,369323630,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6467043,140059219,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(ii)Other securities,22657368,284965037,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(i) Debt,979943073,1054473862,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(ii) Shares,203031473,341625644,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2575289,3299930,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,113024578,122814866,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",88720,5152185,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,23431160,23431160,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(v) Lease receivables,16406998,33976059,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,167009366,762434420,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,21486928,315245409,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,91498251,217227843,"Total Domestic Banks, As At October 31, 2023, (in thousands of dollars), Total Domestic Banks, As At October 31, 2023, (in thousands of dollars)"
