0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",882,2831,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",220477,1067929,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii)Other securities,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) Debt,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii) Shares,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,62079,62245,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(v) Lease receivables,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,20514,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,7617,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,11778,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,544232,1267095,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,114690,144262,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(A) Insured,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(C) Uninsured,0,1316033,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii) Non-residential,0,374884,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",674,674,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,24174,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(b) Accrued interest,1352,8122,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,140,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(d) Goodwill,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) with definite lives,0,52,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(f) Deferred tax assets,0,6608,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(g) Derivatives related amounts,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(j) Other,11,13,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
Total  Assets,829707,4151314,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(c) Deposit-taking institutions,8480,118263,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(i) Tax sheltered,0,1,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(ii) Other,28493,259943,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(e) Other,72318,278206,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
(c) Deposit-taking institutions,304291,1156291,"Bank of China (Canada), As At June 30, 2022, (in thousands of dollars), Bank of China (Canada), As At June 30, 2022, (in thousands of dollars)"
