0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23721,99674,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",671398,675586,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,171792,5043127,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(ii)Other securities,2376587,18266985,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(i) Debt,6810436,7858695,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(ii) Shares,0,30397,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,567494,1150803,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,66673,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(v) Lease receivables,248167,2013072,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,15234,3006665,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,3010,1716925,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,6383,434298,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,97514,7556656,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,6842826,25729849,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,390276,9005992,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,4111918,12749196,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(A) Insured,0,2410942,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,26283,"HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At April 30, 2019, (in thousands of dollars)"
