0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",16000,6323423,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",234361,237852,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,202787,12555448,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
(ii)Other securities,803945,6408965,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
(i) Debt,6544042,6985994,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
(ii) Shares,0,30705,"HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At August 31, 2023, (in thousands of dollars)"
