0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23858,129943,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",675447,681506,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,171018,4027166,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(ii)Other securities,2329333,17009365,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(i) Debt,6249181,6972202,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(ii) Shares,0,28336,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,510404,1111972,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,80992,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(v) Lease receivables,245399,1963686,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,14498,3097704,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,2920,1737047,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,6300,524119,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,7871709,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,6500394,24624027,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,337244,8748086,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,4146131,12528550,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(A) Insured,0,2428293,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,27704,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(C) Uninsured,0,22482464,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
(ii) Non-residential,0,1454,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",48774,5549651,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,361765,"HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At February 28, 2019, (in thousands of dollars)"
