0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",19123,100004,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",671553,676502,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,169124,4230265,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
(ii)Other securities,2328632,17205793,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
(i) Debt,7167908,7872048,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
(ii) Shares,0,31516,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At January 31, 2019, (in thousands of dollars)"
