0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",10794,15418175,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",894493,939775,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,171797,4938880,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(ii)Other securities,1114227,10385939,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(i) Debt,5877259,6865641,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(ii) Shares,0,14043,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,564357,1527699,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,51306,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(v) Lease receivables,195825,2093303,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,6199,2555600,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,783,1568762,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,4031,243241,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,8999,6941299,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,6026068,26412081,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,409523,10838174,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,3529857,11754456,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
(A) Insured,0,4636427,"HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars), HSBC Bank Canada (Inactive May 02, 2024), As At November 30, 2020, (in thousands of dollars)"
