0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",19774344,140801959,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",341375245,380637885,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7193208,160005022,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(ii)Other securities,26058124,321812447,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(i) Debt,1005268740,1085664797,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(ii) Shares,245942764,385486028,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2781918,4409300,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,110986490,126171423,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",103286,4841544,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,22843004,22843004,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(v) Lease receivables,16570836,36254733,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,154751476,758891838,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,20952753,316506023,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,81166098,207163362,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,718499919,980782567,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,768287389,1356888501,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,9363473,44320875,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,397605752,744548301,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(A) Insured,1577034,432017565,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,150203029,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(C) Uninsured,186942079,1384379645,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,316924,7701155,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
(ii) Non-residential,82480011,184464371,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",533459,70993555,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15119590,33987996,"Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2024, (in thousands of dollars), Total All Banks, As At January 31, 2024, (in thousands of dollars)"
